prefecture,lat,lon,coord
济宁市,35.402121664331354,116.60079762482256,"35.402121,116.60079"
永州市,26.43597164675921,111.61464768615666,"26.435971,111.61464"
河池市,24.6995207828732,108.0699477093678,"24.699520,108.06994"
大同市,40.113744499705184,113.29050867308048,"40.113744,113.29050"
伊犁哈萨克自治州,43.92224809634077,81.29785353036553,"43.922248,81.297853"
那曲地区,31.48067983011963,92.06701836885875,"31.480679,92.067018"
抚州市,27.954545170269927,116.36091886693136,"27.954545,116.36091"
宜宾市,28.76967479626591,104.63301906152529,"28.769674,104.63301"
太原市,37.89027705396754,112.5508635890553,"37.890277,112.55086"
长春市,43.898337607097844,125.31364242720072,"43.898337,125.31364"
大连市,38.94870993830429,121.59347778143518,"38.948709,121.59347"
铜仁市,27.674902690624183,109.16855802826001,"27.674902,109.16855"
徐州市,34.27155343109188,117.18810662317686,"34.271553,117.18810"
绥化市,46.646063926996916,126.98909457163498,"46.646063,126.98909"
安庆市,30.537897817381097,117.05873877210728,"30.537897,117.05873"
安康市,32.70437044999437,109.03804456347515,"32.704370,109.03804"
焦作市,35.23460755498593,113.21183588499157,"35.234607,113.21183"
南平市,26.64362647419784,118.18188294866123,"26.643626,118.18188"
信阳市,32.128582307511664,114.08549099347022,"32.128582,114.08549"
廊坊市,39.51861062508462,116.70360222263987,"39.518610,116.70360"
贵阳市,26.62990674144093,106.70917709617581,"26.629906,106.70917"
柳州市,24.32905335246723,109.42240181015114,"24.329053,109.42240"
青岛市,36.10521490127382,120.38442818368188,"36.105214,120.38442"
驻马店市,32.98315815409348,114.04915354745556,"32.983158,114.04915"
楚雄彝族自治州,25.066355674186106,101.52938223914013,"25.066355,101.52938"
宁波市,29.885258965918048,121.57900597258931,"29.885258,121.57900"
济南市,36.682784727161405,117.02496706629023,"36.682784,117.02496"
佳木斯市,46.813779604740354,130.28473458595482,"46.813779,130.28473"
牡丹江市,44.58852115278253,129.608035395637,"44.588521,129.60803"
韶关市,24.80296031189189,113.59446110743559,"24.802960,113.59446"
平顶山市,33.745301456524395,113.30084897797528,"33.745301,113.30084"
黄冈市,30.44610893790113,114.90661804657508,"30.446108,114.90661"
普洱市,22.78877778014943,100.98005773013449,"22.788777,100.98005"
宜春市,27.811129895842885,114.40003867155777,"27.811129,114.40003"
周口市,33.623740818140824,114.6541019422954,"33.623740,114.65410"
襄阳市,31.939712558943572,111.94954852739296,"31.939712,111.94954"
台州市,28.66828328567437,121.4406129359373,"28.668283,121.44061"
南充市,30.800965168237234,106.1055539837924,"30.800965,106.10555"
曲靖市,25.520758142870502,103.78253888802674,"25.520758,103.78253"
苏州市,31.31798736795244,120.61990711548988,"31.317987,120.61990"
吉林市,43.87198833435933,126.56454398883335,"43.871988,126.56454"
绵阳市,31.50470125806144,104.70551897529309,"31.504701,104.70551"
南昌市,28.68957800014115,115.89352754583605,"28.689578,115.89352"
巴音郭楞蒙古自治州,41.77136220256881,86.1216883629838,"41.771362,86.121688"
开封市,34.80185417583674,114.35164211776363,"34.801854,114.35164"
阿克苏地区,41.171730901451795,80.2698461793294,"41.171730,80.269846"
湛江市,21.25746310376432,110.3650672628503,"21.257463,110.36506"
商丘市,34.43858864024636,115.64188568785015,"34.438588,115.64188"
长沙市,28.21347823085322,112.97935278765051,"28.213478,112.97935"
丽水市,28.456299552144298,119.92957584318847,"28.456299,119.92957"
鸡西市,45.32153988655107,130.94176727325066,"45.321539,130.94176"
岳阳市,29.378007075474304,113.14619551911636,"29.378007,113.14619"
常德市,29.012148855180808,111.65371813684195,"29.012148,111.65371"
呼和浩特市,40.82831887308159,111.66035052005421,"40.828318,111.66035"
大庆市,46.5967090200076,125.02183973021087,"46.596709,125.02183"
鄂尔多斯市,39.81648956060153,109.99370625145134,"39.816489,109.99370"
包头市,40.64711942570857,109.8462385324918,"40.647119,109.84623"
金华市,29.10289910539069,119.65257570368144,"29.102899,119.65257"
宁德市,26.656527419158913,119.54208214971857,"26.656527,119.54208"
菏泽市,35.26244049607468,115.46335977452752,"35.262440,115.46335"
株洲市,27.82743292766265,113.13169534107071,"27.827432,113.13169"
陇南市,33.39447997293795,104.93457340575479,"33.394479,104.93457"
盐城市,33.379861877120995,120.14887181793894,"33.379861,120.14887"
合肥市,31.86694226068694,117.28269909168304,"31.866942,117.28269"
